,X,id,value,location,dates,measure,micrograms,value1,value2
2,2,2227,0.33,Boonsri,11-Jan-98,Ammonium,1000,330,0.022193826
32,32,8297,0.3,Kannika,26-Jan-98,Ammonium,1000,300,0.020176206
62,62,8778,0.28,Kannika,26-Jan-98,Ammonium,1000,280,0.018831125
92,92,9261,0.27,Kannika,26-Jan-98,Ammonium,1000,270,0.018158585
122,122,5054,0.4,Chai,31-Jan-98,Ammonium,1000,400,0.026901607
152,152,5538,0.4,Chai,31-Jan-98,Ammonium,1000,400,0.026901607
182,182,6016,0.41,Chai,31-Jan-98,Ammonium,1000,410,0.027574148
212,212,2267,0.14,Boonsri,15-Feb-98,Ammonium,1000,140,0.009415563
242,242,5093,0.77,Chai,20-Feb-98,Ammonium,1000,770,0.051785594
272,272,5577,0.6,Chai,20-Feb-98,Ammonium,1000,600,0.040352411
302,302,6055,0.32,Chai,20-Feb-98,Ammonium,1000,320,0.021521286
332,332,8337,0.14,Kannika,24-Feb-98,Ammonium,1000,140,0.009415563
362,362,8818,0.13,Kannika,24-Feb-98,Ammonium,1000,130,0.008743022
392,392,9301,0.14,Kannika,24-Feb-98,Ammonium,1000,140,0.009415563
422,422,2307,0.2,Boonsri,12-Mar-98,Ammonium,1000,200,0.013450804
452,452,5132,1.78,Chai,19-Mar-98,Ammonium,1000,1780,0.119712153
482,482,5616,1.11,Chai,19-Mar-98,Ammonium,1000,1110,0.07465196
512,512,6094,0.63,Chai,19-Mar-98,Ammonium,1000,630,0.042370032
542,542,8377,0.23,Kannika,21-Mar-98,Ammonium,1000,230,0.015468424
572,572,8858,0.27,Kannika,21-Mar-98,Ammonium,1000,270,0.018158585
602,602,9341,0.21,Kannika,21-Mar-98,Ammonium,1000,210,0.014123344
632,632,2347,0.12,Boonsri,11-Apr-98,Ammonium,1000,120,0.008070482
664,664,2710,0.14,Boonsri,11-Apr-98,Ammonium,1000,140,0.009415563
695,695,4811,14.2,Kohsoom,16-Apr-98,Ammonium,1000,14200,0.955007062
727,727,5171,0.16,Chai,17-Apr-98,Ammonium,1000,160,0.010760643
759,759,5655,0.12,Chai,17-Apr-98,Ammonium,1000,120,0.008070482
791,791,6133,0.16,Chai,17-Apr-98,Ammonium,1000,160,0.010760643
823,823,6495,1.52,Somchair,17-Apr-98,Ammonium,1000,1520,0.102226108
854,854,8417,0.19,Kannika,18-Apr-98,Ammonium,1000,190,0.012778264
886,886,8898,0.16,Kannika,18-Apr-98,Ammonium,1000,160,0.010760643
918,918,9381,0.19,Kannika,18-Apr-98,Ammonium,1000,190,0.012778264
950,950,9870,0.16,Sakda,18-Apr-98,Ammonium,1000,160,0.010760643
981,981,2389,0.14,Boonsri,09-May-98,Ammonium,1000,140,0.009415563
1011,1011,2751,0.28,Boonsri,09-May-98,Ammonium,1000,280,0.018831125
1041,1041,5212,0.41,Chai,20-May-98,Ammonium,1000,410,0.027574148
1072,1072,5696,0.3,Chai,20-May-98,Ammonium,1000,300,0.020176206
1103,1103,6174,0.31,Chai,20-May-98,Ammonium,1000,310,0.020848746
1134,1134,8459,0.31,Kannika,26-May-98,Ammonium,1000,310,0.020848746
1164,1164,8940,0.38,Kannika,26-May-98,Ammonium,1000,380,0.025556527
1194,1194,9423,0.2,Kannika,26-May-98,Ammonium,1000,200,0.013450804
1224,1224,2428,0.16,Boonsri,06-Jun-98,Ammonium,1000,160,0.010760643
1256,1256,2790,0.12,Boonsri,06-Jun-98,Ammonium,1000,120,0.008070482
1288,1288,4853,0.95,Kohsoom,27-Jun-98,Ammonium,1000,950,0.063891318
1320,1320,5252,0.21,Chai,28-Jun-98,Ammonium,1000,210,0.014123344
1351,1351,5736,0.16,Chai,28-Jun-98,Ammonium,1000,160,0.010760643
1382,1382,6214,0.21,Chai,28-Jun-98,Ammonium,1000,210,0.014123344
1413,1413,6536,1.02,Somchair,29-Jun-98,Ammonium,1000,1020,0.068599099
1444,1444,8499,0.31,Kannika,29-Jun-98,Ammonium,1000,310,0.020848746
1475,1475,8980,0.28,Kannika,29-Jun-98,Ammonium,1000,280,0.018831125
1506,1506,9463,0.2,Kannika,29-Jun-98,Ammonium,1000,200,0.013450804
1537,1537,9911,0.19,Sakda,30-Jun-98,Ammonium,1000,190,0.012778264
1569,1569,2470,0.15,Boonsri,11-Jul-98,Ammonium,1000,150,0.010088103
1599,1599,2832,0.11,Boonsri,11-Jul-98,Ammonium,1000,110,0.007397942
1630,1630,5293,0.77,Chai,23-Jul-98,Ammonium,1000,770,0.051785594
1660,1660,5777,1.24,Chai,23-Jul-98,Ammonium,1000,1240,0.083394983
1690,1690,6255,0.85,Chai,23-Jul-98,Ammonium,1000,850,0.057165916
1720,1720,8540,0.21,Kannika,26-Jul-98,Ammonium,1000,210,0.014123344
1750,1750,9021,0.21,Kannika,26-Jul-98,Ammonium,1000,210,0.014123344
1780,1780,9504,0.21,Kannika,26-Jul-98,Ammonium,1000,210,0.014123344
1810,1810,2510,0.21,Boonsri,08-Aug-98,Ammonium,1000,210,0.014123344
1840,1840,2873,0.19,Boonsri,08-Aug-98,Ammonium,1000,190,0.012778264
1888,1888,4895,1.15,Kohsoom,22-Aug-98,Ammonium,1000,1150,0.077342121
1918,1918,5339,0.23,Chai,23-Aug-98,Ammonium,1000,230,0.015468424
1948,1948,5817,0.18,Chai,23-Aug-98,Ammonium,1000,180,0.012105723
1978,1978,6295,0.23,Chai,23-Aug-98,Ammonium,1000,230,0.015468424
2008,2008,6577,1.14,Somchair,24-Aug-98,Ammonium,1000,1140,0.076669581
2038,2038,8586,0.23,Kannika,25-Aug-98,Ammonium,1000,230,0.015468424
2068,2068,9061,0.21,Kannika,25-Aug-98,Ammonium,1000,210,0.014123344
2098,2098,9544,0.23,Kannika,25-Aug-98,Ammonium,1000,230,0.015468424
2128,2128,9953,0.21,Sakda,26-Aug-98,Ammonium,1000,210,0.014123344
2158,2158,2550,0.3,Boonsri,05-Sep-98,Ammonium,1000,300,0.020176206
2188,2188,2913,0.23,Boonsri,05-Sep-98,Ammonium,1000,230,0.015468424
2218,2218,8626,0.19,Kannika,20-Sep-98,Ammonium,1000,190,0.012778264
2248,2248,9101,0.14,Kannika,20-Sep-98,Ammonium,1000,140,0.009415563
2278,2278,9584,0.18,Kannika,20-Sep-98,Ammonium,1000,180,0.012105723
2308,2308,5379,0.19,Chai,27-Sep-98,Ammonium,1000,190,0.012778264
2338,2338,5857,0.16,Chai,27-Sep-98,Ammonium,1000,160,0.010760643
2368,2368,6335,0.19,Chai,27-Sep-98,Ammonium,1000,190,0.012778264
2398,2398,4935,0.54,Kohsoom,01-Oct-98,Ammonium,1000,540,0.03631717
2428,2428,2590,0.2,Boonsri,03-Oct-98,Ammonium,1000,200,0.013450804
2458,2458,2953,0.16,Boonsri,03-Oct-98,Ammonium,1000,160,0.010760643
2488,2488,8666,0.31,Kannika,23-Oct-98,Ammonium,1000,310,0.020848746
2518,2518,9141,0.29,Kannika,23-Oct-98,Ammonium,1000,290,0.019503665
2548,2548,9624,0.29,Kannika,23-Oct-98,Ammonium,1000,290,0.019503665
2578,2578,9750,0.31,Sakda,24-Oct-98,Ammonium,1000,310,0.020848746
2608,2608,9993,0.37,Sakda,24-Oct-98,Ammonium,1000,370,0.024883987
2638,2638,10113,0.35,Sakda,24-Oct-98,Ammonium,1000,350,0.023538906
2668,2668,6737,0.49,Busarakhan,29-Oct-98,Ammonium,1000,490,0.032954469
2698,2698,5419,0.37,Chai,30-Oct-98,Ammonium,1000,370,0.024883987
2728,2728,5897,0.39,Chai,30-Oct-98,Ammonium,1000,390,0.026229067
2758,2758,6375,0.39,Chai,30-Oct-98,Ammonium,1000,390,0.026229067
2788,2788,6617,0.35,Somchair,30-Oct-98,Ammonium,1000,350,0.023538906
2818,2818,2630,0.07,Boonsri,07-Nov-98,Ammonium,1000,70,0.004707781
2848,2848,2993,0.06,Boonsri,07-Nov-98,Ammonium,1000,60,0.004035241
2878,2878,4975,0.6,Kohsoom,14-Nov-98,Ammonium,1000,600,0.040352411
2908,2908,8706,0.18,Kannika,20-Nov-98,Ammonium,1000,180,0.012105723
2938,2938,9181,0.27,Kannika,20-Nov-98,Ammonium,1000,270,0.018158585
2968,2968,9664,0.25,Kannika,20-Nov-98,Ammonium,1000,250,0.016813505
2998,2998,9790,0.11,Sakda,20-Nov-98,Ammonium,1000,110,0.007397942
3028,3028,10033,0.11,Sakda,20-Nov-98,Ammonium,1000,110,0.007397942
3058,3058,10153,0.1,Sakda,20-Nov-98,Ammonium,1000,100,0.006725402
3088,3088,5459,0.3,Chai,26-Nov-98,Ammonium,1000,300,0.020176206
3118,3118,5937,0.23,Chai,26-Nov-98,Ammonium,1000,230,0.015468424
3148,3148,6415,0.2,Chai,26-Nov-98,Ammonium,1000,200,0.013450804
3178,3178,6657,1.2,Somchair,28-Nov-98,Ammonium,1000,1200,0.080704822
