"","X","id","value","location","dates","measure","micrograms","value1","normal"
"19",19,2244,0,"Boonsri","11-Jan-98","Cadmium",1,0,0
"49",49,8314,0,"Kannika","26-Jan-98","Cadmium",1,0,0
"79",79,8795,0,"Kannika","26-Jan-98","Cadmium",1,0,0
"109",109,9278,0,"Kannika","26-Jan-98","Cadmium",1,0,0
"139",139,5071,0,"Chai","31-Jan-98","Cadmium",1,0,0
"169",169,5555,0,"Chai","31-Jan-98","Cadmium",1,0,0
"199",199,6033,0,"Chai","31-Jan-98","Cadmium",1,0,0
"229",229,2284,0,"Boonsri","15-Feb-98","Cadmium",1,0,0
"259",259,5110,0,"Chai","20-Feb-98","Cadmium",1,0,0
"289",289,5594,0,"Chai","20-Feb-98","Cadmium",1,0,0
"319",319,6072,0,"Chai","20-Feb-98","Cadmium",1,0,0
"349",349,8354,0,"Kannika","24-Feb-98","Cadmium",1,0,0
"379",379,8835,0,"Kannika","24-Feb-98","Cadmium",1,0,0
"409",409,9318,0,"Kannika","24-Feb-98","Cadmium",1,0,0
"439",439,2324,0,"Boonsri","12-Mar-98","Cadmium",1,0,0
"469",469,5149,0,"Chai","19-Mar-98","Cadmium",1,0,0
"499",499,5633,0,"Chai","19-Mar-98","Cadmium",1,0,0
"529",529,6111,0,"Chai","19-Mar-98","Cadmium",1,0,0
"559",559,8394,0,"Kannika","21-Mar-98","Cadmium",1,0,0
"589",589,8875,0,"Kannika","21-Mar-98","Cadmium",1,0,0
"619",619,9358,0,"Kannika","21-Mar-98","Cadmium",1,0,0
"649",649,2364,0.31,"Boonsri","11-Apr-98","Cadmium",1,0.31,8.16665e-09
"681",681,2727,0.3,"Boonsri","11-Apr-98","Cadmium",1,0.3,7.90321e-09
"712",712,4828,2.76,"Kohsoom","16-Apr-98","Cadmium",1,2.76,7.27095e-08
"744",744,5188,0.67,"Chai","17-Apr-98","Cadmium",1,0.67,1.76505e-08
"776",776,5672,0.59,"Chai","17-Apr-98","Cadmium",1,0.59,1.5543e-08
"808",808,6150,0.49,"Chai","17-Apr-98","Cadmium",1,0.49,1.29086e-08
"840",840,6512,1.89,"Somchair","17-Apr-98","Cadmium",1,1.89,4.97902e-08
"871",871,8434,0.97,"Kannika","18-Apr-98","Cadmium",1,0.97,2.55537e-08
"903",903,8915,0.55,"Kannika","18-Apr-98","Cadmium",1,0.55,1.44892e-08
"935",935,9398,0.45,"Kannika","18-Apr-98","Cadmium",1,0.45,1.18548e-08
"967",967,9887,0.61,"Sakda","18-Apr-98","Cadmium",1,0.61,1.60699e-08
"998",998,2406,0,"Boonsri","09-May-98","Cadmium",1,0,0
"1028",1028,2768,0,"Boonsri","09-May-98","Cadmium",1,0,0
"1058",1058,5229,0,"Chai","20-May-98","Cadmium",1,0,0
"1089",1089,5713,0,"Chai","20-May-98","Cadmium",1,0,0
"1120",1120,6191,0,"Chai","20-May-98","Cadmium",1,0,0
"1151",1151,8476,0,"Kannika","26-May-98","Cadmium",1,0,0
"1181",1181,8957,0,"Kannika","26-May-98","Cadmium",1,0,0
"1211",1211,9440,0,"Kannika","26-May-98","Cadmium",1,0,0
"1241",1241,2445,0.5,"Boonsri","06-Jun-98","Cadmium",1,0.5,1.3172e-08
"1273",1273,2807,0.35,"Boonsri","06-Jun-98","Cadmium",1,0.35,9.22041e-09
"1305",1305,4870,45.6,"Kohsoom","27-Jun-98","Cadmium",1,45.6,1.20129e-06
"1337",1337,5269,0.8,"Chai","28-Jun-98","Cadmium",1,0.8,2.10752e-08
"1368",1368,5753,0.4,"Chai","28-Jun-98","Cadmium",1,0.4,1.05376e-08
"1399",1399,6231,0.45,"Chai","28-Jun-98","Cadmium",1,0.45,1.18548e-08
"1430",1430,6553,3.59,"Somchair","29-Jun-98","Cadmium",1,3.59,9.4575e-08
"1461",1461,8516,0.9,"Kannika","29-Jun-98","Cadmium",1,0.9,2.37096e-08
"1492",1492,8997,0.5,"Kannika","29-Jun-98","Cadmium",1,0.5,1.3172e-08
"1523",1523,9480,0.55,"Kannika","29-Jun-98","Cadmium",1,0.55,1.44892e-08
"1554",1554,9928,0.35,"Sakda","30-Jun-98","Cadmium",1,0.35,9.22041e-09
"1586",1586,2487,0,"Boonsri","11-Jul-98","Cadmium",1,0,0
"1616",1616,2849,0,"Boonsri","11-Jul-98","Cadmium",1,0,0
"1647",1647,5310,0,"Chai","23-Jul-98","Cadmium",1,0,0
"1677",1677,5794,0,"Chai","23-Jul-98","Cadmium",1,0,0
"1707",1707,6272,0,"Chai","23-Jul-98","Cadmium",1,0,0
"1737",1737,8557,0,"Kannika","26-Jul-98","Cadmium",1,0,0
"1767",1767,9038,0,"Kannika","26-Jul-98","Cadmium",1,0,0
"1797",1797,9521,0,"Kannika","26-Jul-98","Cadmium",1,0,0
"1827",1827,2527,0.62,"Boonsri","08-Aug-98","Cadmium",1,0.62,1.63333e-08
"1857",1857,2890,0.58,"Boonsri","08-Aug-98","Cadmium",1,0.58,1.52795e-08
"1874",1874,5331,0.9,"Chai","15-Aug-98","Cadmium",1,0.9,2.37096e-08
"1880",1880,8578,0.65,"Kannika","15-Aug-98","Cadmium",1,0.65,1.71236e-08
"1886",1886,9742,0.45,"Sakda","15-Aug-98","Cadmium",1,0.45,1.18548e-08
"1905",1905,4912,0.19,"Kohsoom","22-Aug-98","Cadmium",1,0.19,5.00536e-09
