,X,id,value,location,dates,measure,micrograms,value1,normal
965,965,9885,147,Sakda,18-Apr-98,Chromium,1,147,3.87E-06
14005,14005,171528,95,Kannika,24-Feb-01,Chromium,1,95,2.50E-06
21527,21527,234897,84.8,Kohsoom,15-Oct-02,Chromium,1,84.8,2.23E-06
11342,11342,108075,84.4,Busarakhan,15-Aug-00,Chromium,1,84.4,2.22E-06
21549,21549,238444,80.8,Somchair,15-Oct-02,Chromium,1,80.8,2.13E-06
21560,21560,239163,78.8,Busarakhan,15-Oct-02,Chromium,1,78.8,2.08E-06
11330,11330,104882,76.9,Chai,15-Aug-00,Chromium,1,76.9,2.03E-06
21516,21516,227809,65.3,Boonsri,15-Oct-02,Chromium,1,65.3,1.72E-06
87926,87926,1325697,65.1767,Boonsri,18-Aug-10,Chromium,1,65.1767,1.72E-06
18264,18264,241995,61.12,Kannika,26-Mar-02,Chromium,1,61.12,1.61E-06
14146,14146,165365,60,Kohsoom,18-Mar-01,Chromium,1,60,1.58E-06
13595,13595,175214,58,Sakda,25-Jan-01,Chromium,1,58,1.53E-06
18288,18288,242699,55.09,Kannika,26-Mar-02,Chromium,1,55.09,1.45E-06
26375,26375,304040,54.68,Kannika,15-Aug-03,Chromium,1,54.68,1.44E-06
10439,10439,112414,54.2,Kannika,27-May-00,Chromium,1,54.2,1.43E-06
60204,60204,805034,52.45,Chai,07-Jul-07,Chromium,1,52.45,1.38E-06
11455,11455,104103,51,Kohsoom,25-Aug-00,Chromium,1,51,1.34E-06
21582,21582,244280,50.8,Sakda,15-Oct-02,Chromium,1,50.8,1.34E-06
6033,6033,52641,49.7,Sakda,15-Jul-99,Chromium,1,49.7,1.31E-06
3733,3733,45736,46,Kohsoom,16-Jan-99,Chromium,1,46,1.21E-06
4002,4002,46922,46,Chai,30-Jan-99,Chromium,1,46,1.21E-06
10053,10053,97644,45.09,Boonsri,12-May-00,Chromium,1,45.09,1.19E-06
78810,78810,1009647,45,Somchair,26-Jul-09,Chromium,1,45,1.19E-06
17944,17944,235407,44.58,Chai,18-Feb-02,Chromium,1,44.58,1.17E-06
6451,6451,49090,44.4,Busarakhan,15-Aug-99,Chromium,1,44.4,1.17E-06
26354,26354,303333,44.26,Kannika,15-Aug-03,Chromium,1,44.26,1.17E-06
26396,26396,305084,43.42,Sakda,15-Aug-03,Chromium,1,43.42,1.14E-06
45999,45999,699861,42.17,Chai,17-Mar-06,Chromium,1,42.17,1.11E-06
838,838,6510,42,Somchair,17-Apr-98,Chromium,1,42,1.11E-06
15009,15009,165434,41,Kohsoom,13-May-01,Chromium,1,41,1.08E-06
17099,17099,159074,40.68,Boonsri,15-Nov-01,Chromium,1,40.68,1.07E-06
78851,78851,1010423,40,Busarakhan,26-Jul-09,Chromium,1,40,1.05E-06
