,X,id,value,location,dates,measure,micrograms,value1,normal
36921,36921,604987,283.600006,Chai,21-Apr-05,Copper,1,283.600006,7.47E-06
26374,26374,304039,232.22,Kannika,15-Aug-03,Copper,1,232.22,6.12E-06
37133,37133,607711,177.300003,Somchair,24-Apr-05,Copper,1,177.300003,4.67E-06
5817,5817,48267,150,Somchair,22-Jun-99,Copper,1,150,3.95E-06
91877,91877,1643384,138.07,Kohsoom,25-Feb-11,Copper,1,138.07,3.64E-06
26353,26353,303332,137.65,Kannika,15-Aug-03,Copper,1,137.65,3.63E-06
26395,26395,305083,125.24,Sakda,15-Aug-03,Copper,1,125.24,3.30E-06
43890,43890,604288,117.199997,Chai,16-Dec-05,Copper,1,117.199997,3.09E-06
16004,16004,171710,111.4,Kannika,27-Jul-01,Copper,1,111.4,2.93E-06
1902,1902,4909,108,Kohsoom,22-Aug-98,Copper,1,108,2.85E-06
6220,6220,48301,106,Somchair,24-Jul-99,Copper,1,106,2.79E-06
10976,10976,104840,106,Chai,15-Jul-00,Copper,1,106,2.79E-06
11329,11329,104881,105.5,Chai,15-Aug-00,Copper,1,105.5,2.78E-06
18459,18459,235460,104.7,Chai,31-Mar-02,Copper,1,104.7,2.76E-06
18681,18681,235498,104.7,Chai,25-Apr-02,Copper,1,104.7,2.76E-06
17943,17943,235406,98.84,Chai,18-Feb-02,Copper,1,98.84,2.60E-06
10988,10988,108034,98,Busarakhan,15-Jul-00,Copper,1,98,2.58E-06
21526,21526,234896,90.4,Kohsoom,15-Oct-02,Copper,1,90.4,2.38E-06
28760,28760,501177,88.6,Boonsri,12-Feb-04,Copper,1,88.6,2.33E-06
24531,24531,300456,86.85,Somchair,26-Apr-03,Copper,1,86.85,2.29E-06
43528,43528,605766,83.32,Chai,05-Dec-05,Copper,1,83.32,2.19E-06
36955,36955,606473,81.139999,Chai,21-Apr-05,Copper,1,81.139999,2.14E-06
8142,8142,53234,80,Sakda,15-Dec-99,Copper,1,80,2.11E-06
21537,21537,235808,80,Chai,15-Oct-02,Copper,1,80,2.11E-06
21515,21515,227808,79.2,Boonsri,15-Oct-02,Copper,1,79.2,2.09E-06
868,868,8431,79,Kannika,18-Apr-98,Copper,1,79,2.08E-06
43495,43495,604254,78.550003,Chai,05-Dec-05,Copper,1,78.550003,2.07E-06
28816,28816,503524,77.82,Boonsri,12-Feb-04,Copper,1,77.82,2.05E-06
16155,16155,168412,76.7,Somchair,28-Jul-01,Copper,1,76.7,2.02E-06
51587,51587,702457,74.9,Busarakhan,06-Oct-06,Copper,1,74.9,1.97E-06
10080,10080,98432,71.33,Boonsri,12-May-00,Copper,1,71.33,1.88E-06
10108,10108,103979,71.22,Kohsoom,14-May-00,Copper,1,71.22,1.88E-06
7692,7692,48433,71,Somchair,20-Nov-99,Copper,1,71,1.87E-06
8169,8169,54035,71,Sakda,15-Dec-99,Copper,1,71,1.87E-06
26309,26309,300559,70.97,Somchair,15-Aug-03,Copper,1,70.97,1.87E-06
56725,56725,803023,70,Chai,23-Mar-07,Copper,1,70,1.84E-06
21548,21548,238443,68.4,Somchair,15-Oct-02,Copper,1,68.4,1.80E-06
10982,10982,107226,68,Somchair,15-Jul-00,Copper,1,68,1.79E-06
6341,6341,53832,67.67,Sakda,26-Jul-99,Copper,1,67.67,1.78E-06
10318,10318,114809,67.67,Sakda,26-May-00,Copper,1,67.67,1.78E-06
26287,26287,300095,67.36,Chai,15-Aug-03,Copper,1,67.36,1.77E-06
19015,19015,236477,67.1,Chai,11-May-02,Copper,1,67.1,1.77E-06
18484,18484,236411,66.61,Chai,31-Mar-02,Copper,1,66.61,1.75E-06
18703,18703,236449,66.61,Chai,25-Apr-02,Copper,1,66.61,1.75E-06
10228,10228,107172,66.31,Somchair,20-May-00,Copper,1,66.31,1.75E-06
8653,8653,114659,66.05,Sakda,19-Jan-00,Copper,1,66.05,1.74E-06
3162,3162,6429,66,Chai,26-Nov-98,Copper,1,66,1.74E-06
18263,18263,241994,65,Kannika,26-Mar-02,Copper,1,65,1.71E-06
18778,18778,242022,65,Kannika,27-Apr-02,Copper,1,65,1.71E-06
74945,74945,1010877,65,Decha,17-Mar-09,Copper,1,65,1.71E-06
8624,8624,113864,64.87,Sakda,19-Jan-00,Copper,1,64.87,1.71E-06
26331,26331,300933,64.45,Busarakhan,15-Aug-03,Copper,1,64.45,1.70E-06
805,805,6147,64,Chai,17-Apr-98,Copper,1,64,1.69E-06
10903,10903,96926,64,Boonsri,14-Jul-00,Copper,1,64,1.69E-06
11990,11990,105733,64,Chai,23-Sep-00,Copper,1,64,1.69E-06
56774,56774,804689,63.84,Chai,23-Mar-07,Copper,1,63.84,1.68E-06
21559,21559,239162,63.6,Busarakhan,15-Oct-02,Copper,1,63.6,1.68E-06
8595,8595,113063,62.38,Sakda,19-Jan-00,Copper,1,62.38,1.64E-06
9092,9092,114696,62.27,Sakda,19-Feb-00,Copper,1,62.27,1.64E-06
1877,1877,8575,62.2,Kannika,15-Aug-98,Copper,1,62.2,1.64E-06
98747,98747,1967369,62.2,Decha,16-Mar-12,Copper,1,62.2,1.64E-06
18509,18509,237354,61.27,Chai,31-Mar-02,Copper,1,61.27,1.61E-06
18726,18726,237392,61.27,Chai,25-Apr-02,Copper,1,61.27,1.61E-06
33591,33591,504150,60.71,Boonsri,26-Nov-04,Copper,1,60.71,1.60E-06
22320,22320,245717,60.29,Sakda,21-Nov-02,Copper,1,60.29,1.59E-06
4532,4532,42185,60,Boonsri,11-Mar-99,Copper,1,60,1.58E-06
52095,52095,699085,59.69,Chai,15-Oct-06,Copper,1,59.69,1.57E-06
13251,13251,112664,59,Kannika,30-Dec-00,Copper,1,59,1.55E-06
18206,18206,229225,58.3,Boonsri,21-Mar-02,Copper,1,58.3,1.54E-06
18311,18311,243394,57.89,Kannika,26-Mar-02,Copper,1,57.89,1.53E-06
18823,18823,243422,57.89,Kannika,27-Apr-02,Copper,1,57.89,1.53E-06
19040,19040,237421,57.6,Chai,11-May-02,Copper,1,57.6,1.52E-06
21570,21570,242186,57.2,Kannika,15-Oct-02,Copper,1,57.2,1.51E-06
4256,4256,48136,57,Somchair,20-Feb-99,Copper,1,57,1.50E-06
6629,6629,48339,57,Somchair,29-Aug-99,Copper,1,57,1.50E-06
13382,13382,166764,57,Chai,16-Jan-01,Copper,1,57,1.50E-06
16131,16131,175432,56.3,Sakda,27-Jul-01,Copper,1,56.3,1.48E-06
86079,86079,1328517,56,Achara,20-May-10,Copper,1,56,1.48E-06
8976,8976,107059,55.97,Somchair,19-Feb-00,Copper,1,55.97,1.47E-06
18158,18158,227459,55.96,Boonsri,21-Mar-02,Copper,1,55.96,1.47E-06
3732,3732,45735,55,Kohsoom,16-Jan-99,Copper,1,55,1.45E-06
3809,3809,53635,54,Sakda,16-Jan-99,Copper,1,54,1.42E-06
21581,21581,244279,54,Sakda,15-Oct-02,Copper,1,54,1.42E-06
10052,10052,97643,53.84,Boonsri,12-May-00,Copper,1,53.84,1.42E-06
13225,13225,111865,53,Kannika,30-Dec-00,Copper,1,53,1.40E-06
8947,8947,112301,52.31,Kannika,18-Feb-00,Copper,1,52.31,1.38E-06
18630,18630,228401,50.68,Boonsri,25-Apr-02,Copper,1,50.68,1.34E-06
18916,18916,227518,50.68,Boonsri,09-May-02,Copper,1,50.68,1.34E-06
18385,18385,245483,50.29,Sakda,28-Mar-02,Copper,1,50.29,1.32E-06
18892,18892,245511,50.29,Sakda,27-Apr-02,Copper,1,50.29,1.32E-06
91133,91133,1615131,50.0826,Boonsri,20-Jan-11,Copper,1,50.0826,1.32E-06
19320,19320,236507,50.07,Chai,25-May-02,Copper,1,50.07,1.32E-06
6443,6443,48314,50,Somchair,15-Aug-99,Copper,1,50,1.32E-06
19729,19729,244867,49.64,Sakda,22-Jun-02,Copper,1,49.64,1.31E-06
18181,18181,228370,49.05,Boonsri,21-Mar-02,Copper,1,49.05,1.29E-06
13355,13355,166045,49,Chai,16-Jan-01,Copper,1,49,1.29E-06
91906,91906,1615983,49,Somchair,26-Feb-11,Copper,1,49,1.29E-06
17234,17234,167083,48.9,Chai,22-Nov-01,Copper,1,48.9,1.29E-06
10438,10438,112413,48.48,Kannika,27-May-00,Copper,1,48.48,1.28E-06
11347,11347,110904,48.1,Kannika,15-Aug-00,Copper,1,48.1,1.27E-06
5358,5358,46278,48,Chai,20-May-99,Copper,1,48,1.26E-06
12470,12470,112595,48,Kannika,18-Oct-00,Copper,1,48,1.26E-06
99280,99280,1967414,48,Decha,19-Apr-12,Copper,1,48,1.26E-06
18846,18846,244115,47.9,Sakda,27-Apr-02,Copper,1,47.9,1.26E-06
18335,18335,244086,47.4,Sakda,28-Mar-02,Copper,1,47.4,1.25E-06
19344,19344,237451,47.02,Chai,25-May-02,Copper,1,47.02,1.24E-06
92896,92896,1643480,47,Kohsoom,27-Apr-11,Copper,1,47,1.24E-06
9121,9121,96773,46.76,Boonsri,10-Mar-00,Copper,1,46.76,1.23E-06
6436,6436,46365,46.7,Chai,15-Aug-99,Copper,1,46.7,1.23E-06
17566,17566,172581,46.45,Kannika,21-Dec-01,Copper,1,46.45,1.22E-06
6032,6032,52640,46.4,Sakda,15-Jul-99,Copper,1,46.4,1.22E-06
46589,46589,710090,46.06,Sakda,15-Apr-06,Copper,1,46.06,1.21E-06
3757,3757,52453,46,Sakda,16-Jan-99,Copper,1,46,1.21E-06
3887,3887,52052,46,Kannika,21-Jan-99,Copper,1,46,1.21E-06
6429,6429,45947,45.9,Kohsoom,15-Aug-99,Copper,1,45.9,1.21E-06
55330,55330,815228,45.59,Kannika,08-Feb-07,Copper,1,45.59,1.20E-06
6464,6464,52679,45.4,Sakda,15-Aug-99,Copper,1,45.4,1.20E-06
6450,6450,49089,45.3,Busarakhan,15-Aug-99,Copper,1,45.3,1.19E-06
11353,11353,113302,45.3,Sakda,15-Aug-00,Copper,1,45.3,1.19E-06
91099,91099,1614288,45.182,Boonsri,20-Jan-11,Copper,1,45.182,1.19E-06
5437,5437,52590,45.08,Sakda,26-May-99,Copper,1,45.08,1.19E-06
10258,10258,113214,45.08,Sakda,26-May-00,Copper,1,45.08,1.19E-06
15821,15821,166263,45.06,Chai,07-Jul-01,Copper,1,45.06,1.19E-06
8115,8115,52839,45,Sakda,15-Dec-99,Copper,1,45,1.19E-06
11963,11963,104941,45,Chai,23-Sep-00,Copper,1,45,1.19E-06
13622,13622,171492,45,Kannika,27-Jan-01,Copper,1,45,1.19E-06
14322,14322,173051,45,Kannika,25-Mar-01,Copper,1,45,1.19E-06
9385,9385,113137,44.46,Sakda,23-Mar-00,Copper,1,44.46,1.17E-06
43715,43715,617958,44.029999,Sakda,09-Dec-05,Copper,1,44.029999,1.16E-06
741,741,5185,44,Chai,17-Apr-98,Copper,1,44,1.16E-06
12389,12389,108171,44,Busarakhan,18-Oct-00,Copper,1,44,1.16E-06
14292,14292,172308,44,Kannika,25-Mar-01,Copper,1,44,1.16E-06
5997,5997,45910,43.9,Kohsoom,15-Jul-99,Copper,1,43.9,1.16E-06
42917,42917,618849,43.82,Sakda,11-Nov-05,Copper,1,43.82,1.15E-06
18434,18434,238964,43.71,Busarakhan,29-Mar-02,Copper,1,43.71,1.15E-06
18582,18582,238994,43.71,Busarakhan,20-Apr-02,Copper,1,43.71,1.15E-06
18800,18800,242726,43.67,Kannika,27-Apr-02,Copper,1,43.67,1.15E-06
6011,6011,48276,43.6,Somchair,15-Jul-99,Copper,1,43.6,1.15E-06
20399,20399,242122,43.5,Kannika,21-Aug-02,Copper,1,43.5,1.15E-06
43561,43561,607132,43.099998,Chai,05-Dec-05,Copper,1,43.099998,1.14E-06
18287,18287,242698,43.07,Kannika,26-Mar-02,Copper,1,43.07,1.13E-06
9475,9475,110740,43.01,Kannika,24-Mar-00,Copper,1,43.01,1.13E-06
4586,4586,46207,43,Chai,17-Mar-99,Copper,1,43,1.13E-06
7719,7719,49208,43,Busarakhan,20-Nov-99,Copper,1,43,1.13E-06
12415,12415,110998,43,Kannika,18-Oct-00,Copper,1,43,1.13E-06
48688,48688,709227,42.89,Kannika,26-Jun-06,Copper,1,42.89,1.13E-06
8860,8860,106269,42.65,Chai,18-Feb-00,Copper,1,42.65,1.12E-06
17593,17593,173323,42.12,Kannika,21-Dec-01,Copper,1,42.12,1.11E-06
6457,6457,51100,42.1,Kannika,15-Aug-99,Copper,1,42.1,1.11E-06
7881,7881,54000,42,Sakda,26-Nov-99,Copper,1,42,1.11E-06
67869,67869,903586,42,Chai,31-May-08,Copper,1,42,1.11E-06
17208,17208,166366,41.8,Chai,22-Nov-01,Copper,1,41.8,1.10E-06
17962,17962,236358,41.75,Chai,18-Feb-02,Copper,1,41.75,1.10E-06
29438,29438,515233,41.1,Busarakhan,14-Mar-04,Copper,1,41.1,1.08E-06
1824,1824,2524,41,Boonsri,08-Aug-98,Copper,1,41,1.08E-06
22026,22026,227857,40.91,Boonsri,07-Nov-02,Copper,1,40.91,1.08E-06
26265,26265,298747,40.5,Chai,15-Aug-03,Copper,1,40.5,1.07E-06
56674,56674,801497,40.49,Chai,23-Mar-07,Copper,1,40.49,1.07E-06
114507,114507,2625688,40.3,Sakda,15-Oct-14,Copper,1,40.3,1.06E-06
43917,43917,605809,40.209999,Chai,16-Dec-05,Copper,1,40.209999,1.06E-06
