,X,id,value,location,dates,measure,micrograms,value1,normal
834,834,6506,9.2,Somchair,17-Apr-98,Iron,1000,9200,0.000242365
14697,14697,168299,8.73,Somchair,29-Apr-01,Iron,1000,8730,0.000229983
7689,7689,48430,7.46,Somchair,20-Nov-99,Iron,1000,7460,0.000196526
2019,2019,6588,6.75,Somchair,24-Aug-98,Iron,1000,6750,0.000177822
55945,55945,800278,6.219,Kohsoom,24-Feb-07,Iron,1000,6219,0.000163833
28466,28466,513415,6.13,Chai,22-Jan-04,Iron,1000,6130,0.000161489
104221,104221,2166064,6.115,Decha,17-Mar-13,Iron,1000,6115,0.000161094
57288,57288,803141,5.361,Chai,12-Apr-07,Iron,1000,5361,0.00014123
56721,56721,803017,5.055,Chai,23-Mar-07,Iron,1000,5055,0.000133169
13,13,2238,4.95,Boonsri,11-Jan-98,Iron,1000,4950,0.000130403
57701,57701,788081,4.785,Boonsri,19-Apr-07,Iron,1000,4785,0.000126056
103717,103717,2166018,4.742,Decha,17-Feb-13,Iron,1000,4742,0.000124923
63137,63137,806575,4.729,Somchair,26-Oct-07,Iron,1000,4729,0.000124581
433,433,2318,4.57,Boonsri,12-Mar-98,Iron,1000,4570,0.000120392
13851,13851,168225,4.53,Somchair,18-Feb-01,Iron,1000,4530,0.000119338
5717,5717,45894,4.51,Kohsoom,18-Jun-99,Iron,1000,4510,0.000118812
104762,104762,2166110,4.475,Decha,18-Apr-13,Iron,1000,4475,0.000117889
31224,31224,515377,4.358,Busarakhan,02-Jul-04,Iron,1000,4358,0.000114807
63186,63186,807729,4.268,Busarakhan,26-Oct-07,Iron,1000,4268,0.000112436
7319,7319,48397,4.25,Somchair,21-Oct-99,Iron,1000,4250,0.000111962
56621,56621,790957,4.16,Boonsri,22-Mar-07,Iron,1000,4160,0.000109591
34175,34175,592986,4.159,Boonsri,14-Jan-05,Iron,1000,4159,0.000109565
37212,37212,602527,4.071,Kohsoom,25-Apr-05,Iron,1000,4071,0.000107247
15846,15846,166979,4.06,Chai,07-Jul-01,Iron,1000,4060,0.000106957
15818,15818,166260,4.05,Chai,07-Jul-01,Iron,1000,4050,0.000106693
21750,21750,238468,4.02,Somchair,26-Oct-02,Iron,1000,4020,0.000105903
