"","X","id","value","location","dates","measure","micrograms","value1","normal"
"18",18,2243,0,"Boonsri","11-Jan-98","Lead",1,0,0
"48",48,8313,0,"Kannika","26-Jan-98","Lead",1,0,0
"78",78,8794,0,"Kannika","26-Jan-98","Lead",1,0,0
"108",108,9277,0,"Kannika","26-Jan-98","Lead",1,0,0
"138",138,5070,0,"Chai","31-Jan-98","Lead",1,0,0
"168",168,5554,0,"Chai","31-Jan-98","Lead",1,0,0
"198",198,6032,0,"Chai","31-Jan-98","Lead",1,0,0
"228",228,2283,0,"Boonsri","15-Feb-98","Lead",1,0,0
"258",258,5109,0,"Chai","20-Feb-98","Lead",1,0,0
"288",288,5593,0,"Chai","20-Feb-98","Lead",1,0,0
"318",318,6071,0,"Chai","20-Feb-98","Lead",1,0,0
"348",348,8353,0,"Kannika","24-Feb-98","Lead",1,0,0
"378",378,8834,0,"Kannika","24-Feb-98","Lead",1,0,0
"408",408,9317,0,"Kannika","24-Feb-98","Lead",1,0,0
"438",438,2323,0,"Boonsri","12-Mar-98","Lead",1,0,0
"468",468,5148,0,"Chai","19-Mar-98","Lead",1,0,0
"498",498,5632,0,"Chai","19-Mar-98","Lead",1,0,0
"528",528,6110,0,"Chai","19-Mar-98","Lead",1,0,0
"558",558,8393,10,"Kannika","21-Mar-98","Lead",1,10,2.6344e-07
"588",588,8874,10,"Kannika","21-Mar-98","Lead",1,10,2.6344e-07
"618",618,9357,10,"Kannika","21-Mar-98","Lead",1,10,2.6344e-07
"648",648,2363,20,"Boonsri","11-Apr-98","Lead",1,20,5.2688e-07
"680",680,2726,35,"Boonsri","11-Apr-98","Lead",1,35,9.22041e-07
"711",711,4827,90,"Kohsoom","16-Apr-98","Lead",1,90,2.37096e-06
"743",743,5187,30,"Chai","17-Apr-98","Lead",1,30,7.90321e-07
"775",775,5671,41,"Chai","17-Apr-98","Lead",1,41,1.0801e-06
"807",807,6149,55,"Chai","17-Apr-98","Lead",1,55,1.44892e-06
"839",839,6511,41,"Somchair","17-Apr-98","Lead",1,41,1.0801e-06
"870",870,8433,20,"Kannika","18-Apr-98","Lead",1,20,5.2688e-07
"902",902,8914,20,"Kannika","18-Apr-98","Lead",1,20,5.2688e-07
"934",934,9397,10,"Kannika","18-Apr-98","Lead",1,10,2.6344e-07
"966",966,9886,15,"Sakda","18-Apr-98","Lead",1,15,3.9516e-07
"997",997,2405,0,"Boonsri","09-May-98","Lead",1,0,0
"1027",1027,2767,0,"Boonsri","09-May-98","Lead",1,0,0
"1057",1057,5228,0,"Chai","20-May-98","Lead",1,0,0
"1088",1088,5712,0,"Chai","20-May-98","Lead",1,0,0
"1119",1119,6190,0,"Chai","20-May-98","Lead",1,0,0
"1150",1150,8475,0,"Kannika","26-May-98","Lead",1,0,0
"1180",1180,8956,0,"Kannika","26-May-98","Lead",1,0,0
"1210",1210,9439,0,"Kannika","26-May-98","Lead",1,0,0
"1240",1240,2444,1,"Boonsri","06-Jun-98","Lead",1,1,2.6344e-08
"1272",1272,2806,4,"Boonsri","06-Jun-98","Lead",1,4,1.05376e-07
"1304",1304,4869,34,"Kohsoom","27-Jun-98","Lead",1,34,8.95697e-07
"1336",1336,5268,20,"Chai","28-Jun-98","Lead",1,20,5.2688e-07
"1367",1367,5752,11,"Chai","28-Jun-98","Lead",1,11,2.89784e-07
"1398",1398,6230,1,"Chai","28-Jun-98","Lead",1,1,2.6344e-08
