"","X","id","value","location","dates","measure","micrograms","value1","normal"
"10",10,2235,9.7,"Boonsri","11-Jan-98","Magnesium",1000,9700,0.000255537
"40",40,8305,9.33,"Kannika","26-Jan-98","Magnesium",1000,9330,0.00024579
"70",70,8786,8.8,"Kannika","26-Jan-98","Magnesium",1000,8800,0.000231827
"100",100,9269,9.3,"Kannika","26-Jan-98","Magnesium",1000,9300,0.000244999
"130",130,5062,14.8,"Chai","31-Jan-98","Magnesium",1000,14800,0.000389891
"160",160,5546,14.6,"Chai","31-Jan-98","Magnesium",1000,14600,0.000384623
"190",190,6024,15.2,"Chai","31-Jan-98","Magnesium",1000,15200,0.000400429
"220",220,2275,24.2,"Boonsri","15-Feb-98","Magnesium",1000,24200,0.000637525
"250",250,5101,21.63,"Chai","20-Feb-98","Magnesium",1000,21630,0.000569821
"280",280,5585,22.82,"Chai","20-Feb-98","Magnesium",1000,22820,0.000601171
"310",310,6063,24.42,"Chai","20-Feb-98","Magnesium",1000,24420,0.000643321
"340",340,8345,11.9,"Kannika","24-Feb-98","Magnesium",1000,11900,0.000313494
"370",370,8826,11.9,"Kannika","24-Feb-98","Magnesium",1000,11900,0.000313494
"400",400,9309,11.9,"Kannika","24-Feb-98","Magnesium",1000,11900,0.000313494
"430",430,2315,21.7,"Boonsri","12-Mar-98","Magnesium",1000,21700,0.000571665
"460",460,5140,20.05,"Chai","19-Mar-98","Magnesium",1000,20050,0.000528198
"490",490,5624,20.94,"Chai","19-Mar-98","Magnesium",1000,20940,0.000551644
"520",520,6102,19.86,"Chai","19-Mar-98","Magnesium",1000,19860,0.000523192
"550",550,8385,14.73,"Kannika","21-Mar-98","Magnesium",1000,14730,0.000388047
"580",580,8866,14.7,"Kannika","21-Mar-98","Magnesium",1000,14700,0.000387257
"610",610,9349,15.2,"Kannika","21-Mar-98","Magnesium",1000,15200,0.000400429
"640",640,2355,13.8,"Boonsri","11-Apr-98","Magnesium",1000,13800,0.000363547
"672",672,2718,13.8,"Boonsri","11-Apr-98","Magnesium",1000,13800,0.000363547
"703",703,4819,21,"Kohsoom","16-Apr-98","Magnesium",1000,21000,0.000553224
"735",735,5179,12.6,"Chai","17-Apr-98","Magnesium",1000,12600,0.000331935
"767",767,5663,12,"Chai","17-Apr-98","Magnesium",1000,12000,0.000316128
"799",799,6141,13.8,"Chai","17-Apr-98","Magnesium",1000,13800,0.000363547
"831",831,6503,25.8,"Somchair","17-Apr-98","Magnesium",1000,25800,0.000679676
"862",862,8425,13.2,"Kannika","18-Apr-98","Magnesium",1000,13200,0.000347741
"894",894,8906,12.6,"Kannika","18-Apr-98","Magnesium",1000,12600,0.000331935
"926",926,9389,13.2,"Kannika","18-Apr-98","Magnesium",1000,13200,0.000347741
"958",958,9878,14.4,"Sakda","18-Apr-98","Magnesium",1000,14400,0.000379354
"989",989,2397,11.7,"Boonsri","09-May-98","Magnesium",1000,11700,0.000308225
"1019",1019,2759,10.7,"Boonsri","09-May-98","Magnesium",1000,10700,0.000281881
"1049",1049,5220,20.09,"Chai","20-May-98","Magnesium",1000,20090,0.000529251
"1080",1080,5704,19.71,"Chai","20-May-98","Magnesium",1000,19710,0.000519241
"1111",1111,6182,23.48,"Chai","20-May-98","Magnesium",1000,23480,0.000618558
"1142",1142,8467,12.16,"Kannika","26-May-98","Magnesium",1000,12160,0.000320343
"1172",1172,8948,11.7,"Kannika","26-May-98","Magnesium",1000,11700,0.000308225
"1202",1202,9431,11.7,"Kannika","26-May-98","Magnesium",1000,11700,0.000308225
"1232",1232,2436,12.8,"Boonsri","06-Jun-98","Magnesium",1000,12800,0.000337203
"1264",1264,2798,12,"Boonsri","06-Jun-98","Magnesium",1000,12000,0.000316128
"1296",1296,4861,27,"Kohsoom","27-Jun-98","Magnesium",1000,27000,0.000711289
"1328",1328,5260,12,"Chai","28-Jun-98","Magnesium",1000,12000,0.000316128
"1359",1359,5744,12,"Chai","28-Jun-98","Magnesium",1000,12000,0.000316128
"1390",1390,6222,12,"Chai","28-Jun-98","Magnesium",1000,12000,0.000316128
"1421",1421,6544,27,"Somchair","29-Jun-98","Magnesium",1000,27000,0.000711289
"1452",1452,8507,12,"Kannika","29-Jun-98","Magnesium",1000,12000,0.000316128
"1483",1483,8988,12,"Kannika","29-Jun-98","Magnesium",1000,12000,0.000316128
"1514",1514,9471,12,"Kannika","29-Jun-98","Magnesium",1000,12000,0.000316128
"1545",1545,9919,12,"Sakda","30-Jun-98","Magnesium",1000,12000,0.000316128
"1577",1577,2478,13.9,"Boonsri","11-Jul-98","Magnesium",1000,13900,0.000366182
"1607",1607,2840,11.5,"Boonsri","11-Jul-98","Magnesium",1000,11500,0.000302956
"1638",1638,5301,21.26,"Chai","23-Jul-98","Magnesium",1000,21260,0.000560074
"1668",1668,5785,20.6,"Chai","23-Jul-98","Magnesium",1000,20600,0.000542687
"1698",1698,6263,20.6,"Chai","23-Jul-98","Magnesium",1000,20600,0.000542687
"1728",1728,8548,12.16,"Kannika","26-Jul-98","Magnesium",1000,12160,0.000320343
"1758",1758,9029,11.7,"Kannika","26-Jul-98","Magnesium",1000,11700,0.000308225
"1788",1788,9512,11.2,"Kannika","26-Jul-98","Magnesium",1000,11200,0.000295053
"1818",1818,2518,12.8,"Boonsri","08-Aug-98","Magnesium",1000,12800,0.000337203
"1848",1848,2881,12,"Boonsri","08-Aug-98","Magnesium",1000,12000,0.000316128
"1896",1896,4903,12.6,"Kohsoom","22-Aug-98","Magnesium",1000,12600,0.000331935
"1926",1926,5347,13.2,"Chai","23-Aug-98","Magnesium",1000,13200,0.000347741
"1956",1956,5825,13.2,"Chai","23-Aug-98","Magnesium",1000,13200,0.000347741
"1986",1986,6303,12.6,"Chai","23-Aug-98","Magnesium",1000,12600,0.000331935
"2016",2016,6585,27.6,"Somchair","24-Aug-98","Magnesium",1000,27600,0.000727095
"2046",2046,8594,14.4,"Kannika","25-Aug-98","Magnesium",1000,14400,0.000379354
"2076",2076,9069,14.4,"Kannika","25-Aug-98","Magnesium",1000,14400,0.000379354
"2106",2106,9552,14.4,"Kannika","25-Aug-98","Magnesium",1000,14400,0.000379354
"2136",2136,9961,13.8,"Sakda","26-Aug-98","Magnesium",1000,13800,0.000363547
"2166",2166,2558,31.7,"Boonsri","05-Sep-98","Magnesium",1000,31700,0.000835105
"2196",2196,2921,26.9,"Boonsri","05-Sep-98","Magnesium",1000,26900,0.000708654
"2226",2226,8634,14.59,"Kannika","20-Sep-98","Magnesium",1000,14590,0.000384359
"2256",2256,9109,14.6,"Kannika","20-Sep-98","Magnesium",1000,14600,0.000384623
"2286",2286,9592,14.6,"Kannika","20-Sep-98","Magnesium",1000,14600,0.000384623
"2316",2316,5387,14.43,"Chai","27-Sep-98","Magnesium",1000,14430,0.000380144
"2346",2346,5865,17.87,"Chai","27-Sep-98","Magnesium",1000,17870,0.000470768
"2376",2376,6343,17.02,"Chai","27-Sep-98","Magnesium",1000,17020,0.000448375
"2406",2406,4943,14.8,"Kohsoom","01-Oct-98","Magnesium",1000,14800,0.000389891
"2436",2436,2598,14.4,"Boonsri","03-Oct-98","Magnesium",1000,14400,0.000379354
"2466",2466,2961,14.4,"Boonsri","03-Oct-98","Magnesium",1000,14400,0.000379354
"2496",2496,8674,15.6,"Kannika","23-Oct-98","Magnesium",1000,15600,0.000410967
"2526",2526,9149,15.6,"Kannika","23-Oct-98","Magnesium",1000,15600,0.000410967
"2556",2556,9632,16.2,"Kannika","23-Oct-98","Magnesium",1000,16200,0.000426773
"2586",2586,9758,12.6,"Sakda","24-Oct-98","Magnesium",1000,12600,0.000331935
"2616",2616,10001,12.6,"Sakda","24-Oct-98","Magnesium",1000,12600,0.000331935
"2646",2646,10121,13.2,"Sakda","24-Oct-98","Magnesium",1000,13200,0.000347741
"2676",2676,6745,21.6,"Busarakhan","29-Oct-98","Magnesium",1000,21600,0.000569031
"2706",2706,5427,15.6,"Chai","30-Oct-98","Magnesium",1000,15600,0.000410967
"2736",2736,5905,15.6,"Chai","30-Oct-98","Magnesium",1000,15600,0.000410967
"2766",2766,6383,15.6,"Chai","30-Oct-98","Magnesium",1000,15600,0.000410967
"2796",2796,6625,19.8,"Somchair","30-Oct-98","Magnesium",1000,19800,0.000521612
"2826",2826,2638,9.7,"Boonsri","07-Nov-98","Magnesium",1000,9700,0.000255537
