"","X","id","value","location","dates","measure","micrograms","value1","normal"
"20",20,2245,0,"Boonsri","11-Jan-98","Mercury",1,0,0
"50",50,8315,0,"Kannika","26-Jan-98","Mercury",1,0,0
"80",80,8796,0,"Kannika","26-Jan-98","Mercury",1,0,0
"110",110,9279,0,"Kannika","26-Jan-98","Mercury",1,0,0
"140",140,5072,0,"Chai","31-Jan-98","Mercury",1,0,0
"170",170,5556,0,"Chai","31-Jan-98","Mercury",1,0,0
"200",200,6034,0,"Chai","31-Jan-98","Mercury",1,0,0
"230",230,2285,0,"Boonsri","15-Feb-98","Mercury",1,0,0
"260",260,5111,0,"Chai","20-Feb-98","Mercury",1,0,0
"290",290,5595,0,"Chai","20-Feb-98","Mercury",1,0,0
"320",320,6073,0,"Chai","20-Feb-98","Mercury",1,0,0
"350",350,8355,0,"Kannika","24-Feb-98","Mercury",1,0,0
"380",380,8836,0,"Kannika","24-Feb-98","Mercury",1,0,0
"410",410,9319,0,"Kannika","24-Feb-98","Mercury",1,0,0
"440",440,2325,0,"Boonsri","12-Mar-98","Mercury",1,0,0
"470",470,5150,0,"Chai","19-Mar-98","Mercury",1,0,0
"500",500,5634,0,"Chai","19-Mar-98","Mercury",1,0,0
"530",530,6112,0,"Chai","19-Mar-98","Mercury",1,0,0
"560",560,8395,0,"Kannika","21-Mar-98","Mercury",1,0,0
"590",590,8876,0,"Kannika","21-Mar-98","Mercury",1,0,0
"620",620,9359,0,"Kannika","21-Mar-98","Mercury",1,0,0
"650",650,2365,0,"Boonsri","11-Apr-98","Mercury",1,0,0
"682",682,2728,0,"Boonsri","11-Apr-98","Mercury",1,0,0
"713",713,4829,0,"Kohsoom","16-Apr-98","Mercury",1,0,0
"745",745,5189,0,"Chai","17-Apr-98","Mercury",1,0,0
"777",777,5673,0,"Chai","17-Apr-98","Mercury",1,0,0
"809",809,6151,0,"Chai","17-Apr-98","Mercury",1,0,0
"841",841,6513,0,"Somchair","17-Apr-98","Mercury",1,0,0
"872",872,8435,0,"Kannika","18-Apr-98","Mercury",1,0,0
"904",904,8916,0,"Kannika","18-Apr-98","Mercury",1,0,0
"936",936,9399,0,"Kannika","18-Apr-98","Mercury",1,0,0
"968",968,9888,0,"Sakda","18-Apr-98","Mercury",1,0,0
"999",999,2407,0,"Boonsri","09-May-98","Mercury",1,0,0
"1029",1029,2769,0,"Boonsri","09-May-98","Mercury",1,0,0
"1059",1059,5230,0,"Chai","20-May-98","Mercury",1,0,0
"1090",1090,5714,0,"Chai","20-May-98","Mercury",1,0,0
"1121",1121,6192,0,"Chai","20-May-98","Mercury",1,0,0
"1152",1152,8477,0,"Kannika","26-May-98","Mercury",1,0,0
"1182",1182,8958,0,"Kannika","26-May-98","Mercury",1,0,0
"1212",1212,9441,0,"Kannika","26-May-98","Mercury",1,0,0
"1242",1242,2446,0,"Boonsri","06-Jun-98","Mercury",1,0,0
"1274",1274,2808,0,"Boonsri","06-Jun-98","Mercury",1,0,0
"1306",1306,4871,0,"Kohsoom","27-Jun-98","Mercury",1,0,0
"1338",1338,5270,0,"Chai","28-Jun-98","Mercury",1,0,0
"1369",1369,5754,0,"Chai","28-Jun-98","Mercury",1,0,0
"1400",1400,6232,0,"Chai","28-Jun-98","Mercury",1,0,0
"1431",1431,6554,0,"Somchair","29-Jun-98","Mercury",1,0,0
"1462",1462,8517,0,"Kannika","29-Jun-98","Mercury",1,0,0
"1493",1493,8998,0,"Kannika","29-Jun-98","Mercury",1,0,0
"1524",1524,9481,0,"Kannika","29-Jun-98","Mercury",1,0,0
"1555",1555,9929,0,"Sakda","30-Jun-98","Mercury",1,0,0
"1587",1587,2488,0,"Boonsri","11-Jul-98","Mercury",1,0,0
"1617",1617,2850,0,"Boonsri","11-Jul-98","Mercury",1,0,0
"1648",1648,5311,0,"Chai","23-Jul-98","Mercury",1,0,0
"1678",1678,5795,0,"Chai","23-Jul-98","Mercury",1,0,0
"1708",1708,6273,0,"Chai","23-Jul-98","Mercury",1,0,0
"1738",1738,8558,0,"Kannika","26-Jul-98","Mercury",1,0,0
"1768",1768,9039,0,"Kannika","26-Jul-98","Mercury",1,0,0
"1798",1798,9522,0,"Kannika","26-Jul-98","Mercury",1,0,0
"1828",1828,2528,0,"Boonsri","08-Aug-98","Mercury",1,0,0
"1858",1858,2891,0,"Boonsri","08-Aug-98","Mercury",1,0,0
"1906",1906,4913,0,"Kohsoom","22-Aug-98","Mercury",1,0,0
"1936",1936,5357,0,"Chai","23-Aug-98","Mercury",1,0,0
"1966",1966,5835,0,"Chai","23-Aug-98","Mercury",1,0,0
"1996",1996,6313,0,"Chai","23-Aug-98","Mercury",1,0,0
"2026",2026,6595,0,"Somchair","24-Aug-98","Mercury",1,0,0
"2056",2056,8604,0,"Kannika","25-Aug-98","Mercury",1,0,0
"2086",2086,9079,0,"Kannika","25-Aug-98","Mercury",1,0,0
"2116",2116,9562,0,"Kannika","25-Aug-98","Mercury",1,0,0
"2146",2146,9971,0,"Sakda","26-Aug-98","Mercury",1,0,0
"2176",2176,2568,0,"Boonsri","05-Sep-98","Mercury",1,0,0
"2206",2206,2931,0,"Boonsri","05-Sep-98","Mercury",1,0,0
"2236",2236,8644,0,"Kannika","20-Sep-98","Mercury",1,0,0
"2266",2266,9119,0,"Kannika","20-Sep-98","Mercury",1,0,0
"2296",2296,9602,0,"Kannika","20-Sep-98","Mercury",1,0,0
"2326",2326,5397,0,"Chai","27-Sep-98","Mercury",1,0,0
"2356",2356,5875,0,"Chai","27-Sep-98","Mercury",1,0,0
