,X,id,value,location,dates,measure,micrograms,value1,normal
842,842,6514,80,Somchair,17-Apr-98,Nickel,1,80,2.11E-06
2027,2027,6596,78,Somchair,24-Aug-98,Nickel,1,78,2.05E-06
91882,91882,1643394,68.13,Kohsoom,25-Feb-11,Nickel,1,68.13,1.79E-06
1907,1907,4914,63,Kohsoom,22-Aug-98,Nickel,1,63,1.66E-06
2237,2237,8645,61,Kannika,20-Sep-98,Nickel,1,61,1.61E-06
26269,26269,298751,55.5,Chai,15-Aug-03,Nickel,1,55.5,1.46E-06
99842,99842,2221607,52.5,Kohsoom,25-May-12,Nickel,1,52.5,1.38E-06
26247,26247,298175,51.5,Kohsoom,15-Aug-03,Nickel,1,51.5,1.36E-06
1339,1339,5271,51,Chai,28-Jun-98,Nickel,1,51,1.34E-06
1525,1525,9482,51,Kannika,29-Jun-98,Nickel,1,51,1.34E-06
26291,26291,300099,49.4,Chai,15-Aug-03,Nickel,1,49.4,1.30E-06
6036,6036,52644,49.3,Sakda,15-Jul-99,Nickel,1,49.3,1.30E-06
26313,26313,300563,45.53,Somchair,15-Aug-03,Nickel,1,45.53,1.20E-06
6454,6454,49093,45.3,Busarakhan,15-Aug-99,Nickel,1,45.3,1.19E-06
1307,1307,4872,43,Kohsoom,27-Jun-98,Nickel,1,43,1.13E-06
1937,1937,5358,43,Chai,23-Aug-98,Nickel,1,43,1.13E-06
1060,1060,5231,42,Chai,20-May-98,Nickel,1,42,1.11E-06
1091,1091,5715,42,Chai,20-May-98,Nickel,1,42,1.11E-06
1122,1122,6193,42,Chai,20-May-98,Nickel,1,42,1.11E-06
1153,1153,8478,42,Kannika,26-May-98,Nickel,1,42,1.11E-06
1183,1183,8959,42,Kannika,26-May-98,Nickel,1,42,1.11E-06
1213,1213,9442,42,Kannika,26-May-98,Nickel,1,42,1.11E-06
26399,26399,305087,41.74,Sakda,15-Aug-03,Nickel,1,41.74,1.10E-06
1401,1401,6233,41,Chai,28-Jun-98,Nickel,1,41,1.08E-06
2117,2117,9563,40,Kannika,25-Aug-98,Nickel,1,40,1.05E-06
56779,56779,804694,37.42,Chai,23-Mar-07,Nickel,1,37.42,9.86E-07
2057,2057,8605,36,Kannika,25-Aug-98,Nickel,1,36,9.48E-07
6468,6468,52683,35.1,Sakda,15-Aug-99,Nickel,1,35.1,9.25E-07
1967,1967,5836,35,Chai,23-Aug-98,Nickel,1,35,9.22E-07
62358,62358,800728,34.75,Kohsoom,23-Sep-07,Nickel,1,34.75,9.15E-07
6029,6029,51065,34.3,Kannika,15-Jul-99,Nickel,1,34.3,9.04E-07
91254,91254,1643346,32.32,Kohsoom,26-Jan-11,Nickel,1,32.32,8.51E-07
1370,1370,5755,32,Chai,28-Jun-98,Nickel,1,32,8.43E-07
1859,1859,2892,32,Boonsri,08-Aug-98,Nickel,1,32,8.43E-07
1997,1997,6314,32,Chai,23-Aug-98,Nickel,1,32,8.43E-07
6461,6461,51104,31.4,Kannika,15-Aug-99,Nickel,1,31.4,8.27E-07
29662,29662,503620,31.14,Boonsri,26-Mar-04,Nickel,1,31.14,8.20E-07
26335,26335,300937,31.06,Busarakhan,15-Aug-03,Nickel,1,31.06,8.18E-07
1494,1494,8999,31,Kannika,29-Jun-98,Nickel,1,31,8.17E-07
113220,113220,2627658,31,Kohsoom,27-Aug-14,Nickel,1,31,8.17E-07
114119,114119,2627704,31,Kohsoom,24-Sep-14,Nickel,1,31,8.17E-07
51,51,8316,30,Kannika,26-Jan-98,Nickel,1,30,7.90E-07
81,81,8797,30,Kannika,26-Jan-98,Nickel,1,30,7.90E-07
111,111,9280,30,Kannika,26-Jan-98,Nickel,1,30,7.90E-07
561,561,8396,30,Kannika,21-Mar-98,Nickel,1,30,7.90E-07
591,591,8877,30,Kannika,21-Mar-98,Nickel,1,30,7.90E-07
621,621,9360,30,Kannika,21-Mar-98,Nickel,1,30,7.90E-07
26792,26792,299499,29.38,Chai,13-Sep-03,Nickel,1,29.38,7.74E-07
6433,6433,45951,29.3,Kohsoom,15-Aug-99,Nickel,1,29.3,7.72E-07
37844,37844,606561,28.889999,Chai,23-May-05,Nickel,1,28.889999,7.61E-07
56730,56730,803032,28.81,Chai,23-Mar-07,Nickel,1,28.81,7.59E-07
6022,6022,49055,28.8,Busarakhan,15-Jul-99,Nickel,1,28.8,7.59E-07
6001,6001,45914,27.8,Kohsoom,15-Jul-99,Nickel,1,27.8,7.32E-07
30008,30008,501342,27.55,Boonsri,23-Apr-04,Nickel,1,27.55,7.26E-07
6440,6440,46369,27.2,Chai,15-Aug-99,Nickel,1,27.2,7.17E-07
1463,1463,8518,27,Kannika,29-Jun-98,Nickel,1,27,7.11E-07
24808,24808,299267,25.59,Chai,18-May-03,Nickel,1,25.59,6.74E-07
6447,6447,48318,25.1,Somchair,15-Aug-99,Nickel,1,25.1,6.61E-07
37745,37745,606522,25.059999,Chai,16-May-05,Nickel,1,25.059999,6.60E-07
714,714,4830,25,Kohsoom,16-Apr-98,Nickel,1,25,6.59E-07
92901,92901,1643490,25,Kohsoom,27-Apr-11,Nickel,1,25,6.59E-07
46478,46478,707159,24.52,Kannika,15-Apr-06,Nickel,1,24.52,6.46E-07
778,778,5674,24,Chai,17-Apr-98,Nickel,1,24,6.32E-07
6015,6015,48280,22.5,Somchair,15-Jul-99,Nickel,1,22.5,5.93E-07
56527,56527,787962,22.02,Boonsri,22-Mar-07,Nickel,1,22.02,5.80E-07
33925,33925,519649,21.32,Kannika,11-Dec-04,Nickel,1,21.32,5.62E-07
37492,37492,615665,20.780001,Kannika,13-May-05,Nickel,1,20.780001,5.47E-07
63145,63145,806589,20.45,Somchair,26-Oct-07,Nickel,1,20.45,5.39E-07
56876,56876,806128,20.06,Somchair,28-Mar-07,Nickel,1,20.06,5.28E-07
92262,92262,1613493,19.6207,Boonsri,19-Mar-11,Nickel,1,19.6207,5.17E-07
98550,98550,2221449,19.5,Kohsoom,23-Feb-12,Nickel,1,19.5,5.14E-07
63194,63194,807743,19.16,Busarakhan,26-Oct-07,Nickel,1,19.16,5.05E-07
46747,46747,698463,18.98,Chai,23-Apr-06,Nickel,1,18.98,5.00E-07
63244,63244,800790,18.77,Kohsoom,27-Oct-07,Nickel,1,18.77,4.94E-07
60208,60208,805038,18.7,Chai,07-Jul-07,Nickel,1,18.7,4.93E-07
47767,47767,701254,18.61,Somchair,31-May-06,Nickel,1,18.61,4.90E-07
57297,57297,803156,18.54,Chai,12-Apr-07,Nickel,1,18.54,4.88E-07
47082,47082,698509,18.06,Chai,30-Apr-06,Nickel,1,18.06,4.76E-07
2147,2147,9972,18,Sakda,26-Aug-98,Nickel,1,18,4.74E-07
38080,38080,607765,17.809999,Somchair,29-May-05,Nickel,1,17.809999,4.69E-07
56679,56679,801502,17.73,Chai,23-Mar-07,Nickel,1,17.73,4.67E-07
111981,111981,2627566,17,Kohsoom,25-Jun-14,Nickel,1,17,4.48E-07
30221,30221,510560,16.9,Kohsoom,25-Apr-04,Nickel,1,16.9,4.45E-07
93580,93580,1617615,16.9,Achara,17-Jun-11,Nickel,1,16.9,4.45E-07
94263,94263,1617671,16.9,Achara,14-Jul-11,Nickel,1,16.9,4.45E-07
47050,47050,697109,16.57,Chai,30-Apr-06,Nickel,1,16.57,4.37E-07
57780,57780,806198,16.34,Somchair,20-Apr-07,Nickel,1,16.34,4.30E-07
24832,24832,299933,16.24,Chai,18-May-03,Nickel,1,16.24,4.28E-07
36038,36038,607669,16.18,Somchair,24-Mar-05,Nickel,1,16.18,4.26E-07
99386,99386,2221554,16.1,Kohsoom,27-Apr-12,Nickel,1,16.1,4.24E-07
58750,58750,800479,15.468,Kohsoom,26-May-07,Nickel,1,15.468,4.07E-07
59801,59801,806330,15.25,Somchair,23-Jun-07,Nickel,1,15.25,4.02E-07
42410,42410,590643,15.23,Boonsri,21-Oct-05,Nickel,1,15.23,4.01E-07
27717,27717,304157,15,Kannika,20-Nov-03,Nickel,1,15,3.95E-07
112566,112566,2627612,15,Kohsoom,23-Jul-14,Nickel,1,15,3.95E-07
43658,43658,616014,14.87,Kannika,09-Dec-05,Nickel,1,14.87,3.92E-07
